probe start 11:00:01 target=cy-163401-53929:0.0
11:00:02 busy=true age=6 pane_busy_lines=2 job=completed:jcec2c
11:00:07 busy=true age=5 pane_busy_lines=2 job=completed:jcec2c
11:00:12 busy=true age=4 pane_busy_lines=2 job=completed:jcec2c
11:00:17 busy=false age=3 pane_busy_lines=0 job=completed:jcec2c
11:00:22 busy=false age=1 pane_busy_lines=1 job=running:fpweqg
11:00:28 busy=true age=0 pane_busy_lines=0 job=running:fpweqg
11:00:33 busy=true age=6 pane_busy_lines=0 job=running:fpweqg
11:00:38 busy=true age=11 pane_busy_lines=0 job=running:fpweqg
11:00:43 busy=true age=16 pane_busy_lines=0 job=running:fpweqg
11:00:48 busy=true age=21 pane_busy_lines=0 job=running:fpweqg
11:00:53 busy=true age=26 pane_busy_lines=0 job=running:fpweqg
11:00:59 busy=true age=32 pane_busy_lines=0 job=running:fpweqg
11:01:04 busy=true age=37 pane_busy_lines=0 job=running:fpweqg
11:01:09 busy=true age=42 pane_busy_lines=0 job=running:fpweqg
11:01:14 busy=true age=47 pane_busy_lines=0 job=running:fpweqg
11:01:19 busy=true age=52 pane_busy_lines=0 job=running:fpweqg
11:01:25 busy=true age=58 pane_busy_lines=0 job=running:fpweqg
11:01:30 busy=true age=63 pane_busy_lines=0 job=running:fpweqg
11:01:35 busy=true age=68 pane_busy_lines=0 job=running:fpweqg
11:01:40 busy=true age=73 pane_busy_lines=0 job=running:fpweqg
11:01:45 busy=true age=78 pane_busy_lines=0 job=running:fpweqg
11:01:51 busy=true age=84 pane_busy_lines=0 job=running:fpweqg
11:01:56 busy=true age=89 pane_busy_lines=0 job=running:fpweqg
11:02:01 busy=true age=94 pane_busy_lines=0 job=running:fpweqg
11:02:06 busy=true age=99 pane_busy_lines=0 job=running:fpweqg
11:02:11 busy=true age=104 pane_busy_lines=0 job=running:fpweqg
11:02:17 busy=true age=109 pane_busy_lines=0 job=running:fpweqg
11:02:22 busy=true age=115 pane_busy_lines=0 job=running:fpweqg
11:02:27 busy=true age=120 pane_busy_lines=0 job=running:fpweqg
11:02:32 busy=true age=125 pane_busy_lines=0 job=running:fpweqg
11:02:37 busy=true age=130 pane_busy_lines=0 job=running:fpweqg
11:02:43 busy=true age=135 pane_busy_lines=0 job=running:fpweqg
11:02:48 busy=true age=141 pane_busy_lines=0 job=running:fpweqg
11:02:53 busy=true age=146 pane_busy_lines=0 job=running:fpweqg
11:02:58 busy=true age=151 pane_busy_lines=0 job=running:fpweqg
11:03:04 busy=true age=156 pane_busy_lines=0 job=running:fpweqg
11:03:09 busy=true age=162 pane_busy_lines=0 job=running:fpweqg
11:03:14 busy=true age=167 pane_busy_lines=0 job=running:fpweqg
11:03:19 busy=true age=172 pane_busy_lines=0 job=running:fpweqg
11:03:24 busy=true age=177 pane_busy_lines=0 job=running:fpweqg
11:03:30 busy=true age=182 pane_busy_lines=0 job=running:fpweqg
11:03:35 busy=true age=188 pane_busy_lines=0 job=running:fpweqg
11:03:41 busy=true age=193 pane_busy_lines=0 job=running:fpweqg
11:03:46 busy=true age=199 pane_busy_lines=0 job=running:fpweqg
11:03:51 busy=true age=204 pane_busy_lines=0 job=running:fpweqg
11:03:56 busy=true age=209 pane_busy_lines=0 job=running:fpweqg
11:04:01 busy=true age=214 pane_busy_lines=0 job=running:fpweqg
11:04:06 busy=true age=219 pane_busy_lines=0 job=running:fpweqg
11:04:12 busy=true age=225 pane_busy_lines=0 job=running:fpweqg
11:04:17 busy=true age=230 pane_busy_lines=0 job=running:fpweqg
11:04:22 busy=true age=235 pane_busy_lines=0 job=running:fpweqg
11:04:27 busy=true age=240 pane_busy_lines=0 job=running:fpweqg
11:04:32 busy=true age=245 pane_busy_lines=0 job=running:fpweqg
11:04:38 busy=true age=250 pane_busy_lines=0 job=running:fpweqg
11:04:43 busy=true age=256 pane_busy_lines=0 job=running:fpweqg
11:04:48 busy=true age=261 pane_busy_lines=0 job=running:fpweqg
11:04:53 busy=true age=266 pane_busy_lines=0 job=running:fpweqg
11:04:58 busy=true age=271 pane_busy_lines=0 job=running:fpweqg
11:05:04 busy=false age=276 pane_busy_lines=0 job=completed:fpweqg
job finished at 11:05:04; 3 post-completion samples then exit
11:05:09 post busy=false age=282
11:05:14 post busy=false age=287
11:05:19 post busy=false age=292
